   24   24    0  225    0    0  225    0  225  225  225  225  225  225    0    0  225    0  225    0
    0    0  225  225    0  225  225  225  225  225  225  225  225  225  225  225  225  225  225    0
    0   23    0  225    0    0    0  225    0  225    0    0    0  225  225  225  225    0    0    0
   11    0  225  225  225  225  225  225    0    0  225    0    0    0  225  225    0  206    0  230
    0   22    0    0  225  225  225  225    0  225  225    0    0  225  225  225  225    0  230  230
    0    0   82    0    0  225  225  225    0    0  225  225    0    0  225  225    0  205    0  230
   82   82   82   82   82    0    0  225  225  225  225    0    0    0  225    0  225    0  216    0
   82    0   82   82   82    0    0    0    0  225  225    0    0  225  225    0  225    0    0  227
   82    0   82    0    0   82    0  110  110    0    0  133    0  225  225    0  225    0  227  227
   82   82   82   82   82   82   82    0  110    0  120    0  225  225  225    0  225    0    0    0
    0   82    0    0   82   82    0    0  110  110    0    0  225  225    0  225  225  225  225    0
    0   82   82    0   82   82   82    0  110    0  225  225  225  225  225  225  225  225    0    0
    0   82    0    0   82    0    0   89    0    0    0  225    0  225  225  225    0  225  225    0
   82   82   82   82   82   82    0    0    0    0    0    0    0    0  225    0  225  225  225  225
   82   82    0   82   82   82   82    0  118  118    0  130    0    0  225  225  225  225    0  225
    0   82    0   82   82   82   82    0    0  118  118    0    0  225  225  225    0    0  211    0
   82   82   82   82   82   82    0    0    0  118    0    0    0  225    0  225    0    0    0  223
   82    0   82    0   82   82    0    0    0    0  225  225    0  225    0    0    0    0  223  223
   82    0   82   82    0   82    0   88    0  106    0  225  225  225  225    0    0  223  223  223
   82    0   82   82   82    0    0    0    0  106    0    0    0  225  225    0  223  223  223  223
